dir,initiative_id,min_ts,max_ts,total_cost_usd,first_pass_cost_usd,rework_cost_usd,rework_pct,max_passes,architect_cost,architect_passes,project-manager_cost,project-manager_passes,developer-loop_cost,developer-loop_passes,unifier_cost,unifier_passes,review-loop_cost,review-loop_passes,closure_cost,closure_passes,release-finalize_cost,release-finalize_passes,reflection_cost,reflection_passes,orchestrator_cost,orchestrator_passes
2026-07-01T08-39-27_INIT-2026-07-01-migrate-framework-taskagent,INIT-2026-07-01-migrate-framework-taskagent,2026-07-01T22:11:16.651Z,2026-07-05T03:49:20.594Z,92.2604,50.6465,41.6139,45.1,11,0.0,11,4.6527,1,77.0321,6,9.0634,4,0.0,2,0.0,3,0.0,0,1.5122,1,0.0,3
2026-07-01T08-39-27_INIT-2026-07-01-migrate-framework-core,INIT-2026-07-01-migrate-framework-core,2026-07-01T21:48:39.980Z,2026-07-05T03:23:43.396Z,85.8824,21.0418,64.8406,75.5,28,0.0,28,2.5168,2,17.8628,26,64.1772,7,0.0,4,0.0,5,0.0,0,1.3256,1,0.0,6
2026-07-01T08-39-27_INIT-2026-07-01-migrate-framework-graph-identity,INIT-2026-07-01-migrate-framework-graph-identity,2026-07-01T21:54:10.775Z,2026-07-03T14:43:48.835Z,79.9089,44.8559,35.053,43.9,10,0.0,10,4.0079,1,51.6909,7,22.783,5,0.0,4,0.0,5,0.0,0,1.4271,1,0.0,5
2026-07-01T08-39-27_INIT-2026-07-01-migrate-framework-serviceendpoint,INIT-2026-07-01-migrate-framework-serviceendpoint,2026-07-01T22:05:46.541Z,2026-07-03T11:49:37.337Z,79.902,46.0712,33.8309,42.3,8,0.0,8,6.0287,2,52.7255,6,19.6896,6,0.0,3,0.0,4,0.2456,1,1.2126,1,0.0,5
2026-07-01T08-39-27_INIT-2026-07-01-migrate-framework-workitemtrackingprocess,INIT-2026-07-01-migrate-framework-workitemtrackingprocess,2026-07-01T22:18:23.985Z,2026-07-05T03:45:05.656Z,71.4999,19.3079,52.1921,73.0,9,0.0,9,2.9409,2,52.2965,6,14.864,3,0.0,3,0.0,4,0.0,0,1.3985,1,0.0,5
2026-07-01T08-39-27_INIT-2026-07-01-migrate-framework-policy-branch,INIT-2026-07-01-migrate-framework-policy-branch,2026-07-01T21:59:04.240Z,2026-07-04T01:09:49.838Z,71.0828,49.7821,21.3006,30.0,25,0.0,25,1.1468,1,42.8042,23,25.9027,4,0.0,4,0.0,5,0.0,0,1.229,1,0.0,5
2026-07-01T08-39-27_INIT-2026-07-01-migrate-framework-security-permissions,INIT-2026-07-01-migrate-framework-security-permissions,2026-07-01T22:05:13.088Z,2026-07-04T01:09:49.838Z,62.1271,34.9426,27.1845,43.8,25,0.0,25,1.4617,1,28.6581,24,30.6319,4,0.0,4,0.0,5,0.0,0,1.3754,1,0.0,5
2026-07-01T08-39-27_INIT-2026-07-01-migrate-framework-workitemtracking,INIT-2026-07-01-migrate-framework-workitemtracking,2026-07-01T22:16:41.816Z,2026-07-04T01:09:49.838Z,59.9791,46.5658,13.4133,22.4,25,0.0,25,3.6512,1,37.5942,22,17.2109,3,0.0,3,0.0,4,0.0,0,1.5228,1,0.0,4
2026-07-01T08-39-27_INIT-2026-07-01-migrate-framework-git,INIT-2026-07-01-migrate-framework-git,2026-07-01T21:54:10.103Z,2026-07-03T10:19:32.233Z,54.4874,30.3022,24.1852,44.4,7,0.0,7,2.019,1,25.8178,5,25.2753,4,0.0,3,0.0,4,0.2847,1,1.0905,1,0.0,4
2026-07-01T08-39-27_INIT-2026-07-01-migrate-framework-feed,INIT-2026-07-01-migrate-framework-feed,2026-07-01T21:51:44.200Z,2026-07-03T11:54:18.718Z,53.1477,36.4885,16.6592,31.3,6,0.0,6,4.0837,1,26.4398,3,21.2414,2,0.0,2,0.0,3,0.0,0,1.3828,1,0.0,3
2026-07-01T08-39-27_INIT-2026-07-01-new-api-pipelines-v2,INIT-2026-07-01-new-api-pipelines-v2,2026-07-01T22:26:29.079Z,2026-07-04T01:09:49.838Z,51.9443,35.0327,16.9115,32.6,21,0.0,21,1.2436,1,27.5863,20,21.5506,3,0.0,3,0.0,4,0.0,0,1.5637,1,0.0,4
2026-07-01T08-39-27_INIT-2026-07-01-migrate-framework-dashboard-extension,INIT-2026-07-01-migrate-framework-dashboard-extension,2026-07-01T21:51:16.404Z,2026-07-03T08:32:09.371Z,42.8712,19.395,23.4761,54.8,8,0.0,8,4.3138,2,11.5574,5,25.6942,4,0.0,4,0.0,5,0.2316,1,1.0741,1,0.0,6
2026-07-01T08-39-27_INIT-2026-07-01-migrate-framework-build,INIT-2026-07-01-migrate-framework-build,2026-07-01T21:48:39.279Z,2026-07-03T04:27:09.308Z,40.0319,21.8682,18.1638,45.4,9,0.0,9,3.3157,1,21.4047,6,13.5939,6,0.0,3,0.0,4,0.2284,1,1.4892,1,0.0,4
2026-07-01T08-39-27_INIT-2026-07-01-mux-free-cutover,INIT-2026-07-01-mux-free-cutover,2026-07-05T03:46:40.865Z,2026-07-09T22:07:02.144Z,37.6995,37.6995,0.0,0.0,2,0.0,2,4.2967,1,16.8638,1,15.3442,0,0.0,0,0.0,1,0.0,0,1.1948,1,0.0,1
2026-07-01T08-39-27_INIT-2026-07-01-new-api-test,INIT-2026-07-01-new-api-test,2026-07-01T22:28:47.175Z,2026-07-04T01:09:49.838Z,35.3963,3.4367,31.9597,90.3,6,0.0,6,1.8607,1,24.7858,4,8.7498,3,0.0,3,0.0,4,0.0,0,0.0,0,0.0,4
2026-07-01T08-39-27_INIT-2026-07-01-new-api-accounts-profile,INIT-2026-07-01-new-api-accounts-profile,2026-07-01T22:19:20.821Z,2026-07-04T01:09:49.838Z,35.2491,5.627,29.6221,84.0,5,0.0,5,1.6126,1,13.7347,3,18.4511,2,0.0,1,0.0,2,0.0,0,1.4506,1,0.0,2
2026-07-01T08-39-27_INIT-2026-07-01-migrate-framework-release-folder-permissions,INIT-2026-07-01-migrate-framework-release-folder-permissions,2026-07-01T09:34:36.299Z,2026-07-02T07:18:32.926Z,35.0035,7.8528,27.1508,77.6,5,0.0,5,1.0193,1,29.4562,4,1.3355,1,0.0,1,0.0,2,0.2355,1,2.957,2,0.0,2
2026-07-01T08-39-27_INIT-2026-07-01-migrate-framework-wiki,INIT-2026-07-01-migrate-framework-wiki,2026-07-01T22:14:05.280Z,2026-07-03T11:12:19.548Z,28.7345,25.3509,3.3837,11.8,4,0.0,4,1.7325,1,24.4722,2,0.7113,2,0.0,1,0.0,2,0.4902,1,1.3282,1,0.0,2
2026-07-01T08-39-27_INIT-2026-07-01-new-api-notification,INIT-2026-07-01-new-api-notification,2026-07-01T22:24:07.764Z,2026-07-04T01:09:49.838Z,27.1554,14.0636,13.0918,48.2,22,0.0,22,1.0848,1,15.3118,21,9.6522,4,0.0,3,0.0,4,0.0,0,1.1066,1,0.0,4
2026-07-01T08-39-27_INIT-2026-07-01-migrate-framework-servicehook,INIT-2026-07-01-migrate-framework-servicehook,2026-07-01T22:10:43.814Z,2026-07-03T10:51:24.037Z,26.1022,15.729,10.3733,39.7,8,0.0,8,3.8349,1,8.8675,4,11.954,4,0.0,2,0.0,3,0.2176,1,1.2284,1,0.0,3
2026-07-01T08-39-27_INIT-2026-07-01-migrate-framework-member-entitlement,INIT-2026-07-01-migrate-framework-member-entitlement,2026-07-01T21:56:37.317Z,2026-07-03T04:57:12.297Z,22.2525,16.7701,5.4824,24.6,6,0.0,6,3.2172,1,9.9885,2,7.4637,2,0.0,2,0.0,3,0.2348,1,1.3483,1,0.0,3
2026-07-01T08-39-27_INIT-2026-07-01-new-api-gallery-extensionmanagement,INIT-2026-07-01-new-api-gallery-extensionmanagement,2026-07-01T22:21:42.921Z,2026-07-05T03:15:01.962Z,14.3058,8.3356,5.9702,41.7,7,0.0,7,5.2605,2,4.0665,2,3.4655,2,0.0,0,0.0,1,0.0,0,1.5133,1,0.0,2
2026-07-01T08-39-27_INIT-2026-07-01-new-api-pipelinesapproval,INIT-2026-07-01-new-api-pipelinesapproval,2026-07-03T17:00:35.535Z,2026-07-05T03:11:56.442Z,13.8623,11.7643,2.098,15.1,3,0.0,3,1.3364,1,6.5498,2,4.6117,2,0.0,0,0.0,1,0.0,0,1.3644,1,0.0,1
2026-07-01T08-39-27_INIT-2026-07-01-new-api-featuremanagement,INIT-2026-07-01-new-api-featuremanagement,2026-07-01T22:21:27.262Z,2026-07-03T09:13:35.858Z,13.6869,13.6869,0.0,0.0,2,0.0,2,1.2774,1,9.2911,1,1.53,1,0.0,1,0.0,2,0.2783,1,1.3102,1,0.0,2
_architect-2026-07-01T08-18-02,architect-session-2026-07-01T08-18-02,2026-07-01T08:18:02.287Z,2026-07-01T08:39:27.244Z,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
